index,Diff_VIX_1d,Diff_VIX_1w,Diff_VIX_2w,Diff_V2X_1d,Diff_V2X_1w,Diff_V2X_2w,Diff_EURUSD_1d,Diff_EURUSD_1w,Diff_EURUSD_2w,Diff_EURUSDV1M_1d,Diff_EURUSDV1M_1w,Diff_EURUSDV1M_2w,Diff_USGG10YR_1d,Diff_USGG10YR_1w,Diff_USGG10YR_2w,Diff_USGG2YR_1d,Diff_USGG2YR_1w,Diff_USGG2YR_2w,Diff_GDBR10YR_1d,Diff_GDBR10YR_1w,Diff_GDBR10YR_2w,Diff_GDBR2YR_1d,Diff_GDBR2YR_1w,Diff_GDBR2YR_2w,Diff_SX5E_1d,Diff_SX5E_1w,Diff_SX5E_2w,Diff_SPX_1d,Diff_SPX_1w,Diff_SPX_2w,Diff_SRVIX_1d,Diff_SRVIX_1w,Diff_SRVIX_2w,Diff_CVIX_1d,Diff_CVIX_1w,Diff_CVIX_2w,Diff_MOVE_1d,Diff_MOVE_1w,Diff_MOVE_2w
0,0.09,0.91,0.78,-0.4476,0.2496,1.1221,0.0067,-0.0038,-0.0053,0.025,-0.1755,0.175,-0.0002,0.0385,0.1412,0,0.0082,0.092,-0.013,-0.012,0.032,0.001,0.018,0.023,26.69,-35.62,-50.22,1.72,-22.04,-24.41,0,0,0,0.060258,-0.182817,0.09745,0.45,-0.55,1.85
1,0.4,-0.01,3.83,2.4391,-0.7112,6.1795,-0.0048,0.0034,-0.0046,-0.3675,-0.0675,0.4575,-0.0033,0.0851,0.0326,0.006,0.0432,0.0351,-0.031,0.031,-0.008,-0.027,0.005,-0.002,-57.14,9.67,-108.34,-13.43,64.62,-61.86,-0.16,-0.97,-0.17,-0.12,0.09,0.92,-0.1082,0.9718,1.9018
2,-1.54,1.86,1.56,-0.343,2.2993,2.3575,-0.0016,0.0039,-0.0088,-0.315,0.2525,0.2775,0.0495,0.0158,0.044,0.0038,-0.0843,-0.0588,0.021,0.046,0.058,-0.028,-0.023,-0.041,10.66,-22.94,-27.11,14.25,-20.16,-48.17,0.1,3.02,3.74,-0.14,0.17,0.2,-0.2249,-0.3166,2.8408
3,-0.06,-0.99,3.58,-0.2026,-2.4894,2.0213,-0.0099,-0.0212,-0.0409,-0.335,-0.6025,-1.51,0.0589,0.0484,0.1323,-0.0142,0.0092,0.0728,0.023,0.017,-0.003,-0.012,-0.109,-0.072,1.71,75.31,-13.39,-5.54,5.13,-23.16,0,0,0,-0.3839,-0.1753,-0.7582,1.1,-11,5.6
4,0.14,-0.07,1.69,0.2685,1.3956,3.3027,-0.0059,-0.0352,-0.042,0.015,-0.125,1.2475,0.0102,0.1023,0.1291,0.0159,0.0442,0.0609,-0.005,0.103,0.102,-0.024,-0.009,-0.055,4.43,-1.47,-58.76,-0.3,-23.94,-40.07,-0.05,2.2,6.3,-0.17,0.09,1.37,0.5353,11.5193,25.4624
5,0.57,1.39,2.31,-0.8626,1.1478,1.0667,0.0035,0.0254,0.0335,-0.44,-1.8725,-1.9,0,-0.1525,-0.1997,0,-0.131,-0.2077,-0.034,-0.005,0.015,-0.018,0.016,0.116,16.57,4.8,5.99,3.03,-19.64,-37.24,-0.45,-0.98,-2.17,-0.16,-0.18,-0.43,0,5.0356,3.931
6,-0.97,-0.38,-0.84,-0.1138,0.1478,1.1087,0.0014,-0.0063,-1.00E-04,0.1,0.175,0.3,0.0301,-0.0221,0.0321,0.0255,-0.0055,-0.0231,0.023,-0.017,0.008,0.01,-0.035,-0.029,16.67,33.66,-28.8,3.42,-9.72,-21.27,0,0,0,0.130138,0.28731,0.425132,1.3,1.3,2
7,0.47,-0.28,-1.28,0.7051,-0.0852,-1.0439,0.0015,0.0003,-0.0039,0.035,0.38,0.1575,0.0155,-0.0052,-0.0657,0.0143,0.0158,0.0128,-0.01,0.001,-0.073,-0.009,-0.009,-0.011,-20.36,-16.26,-5.02,-23.35,-30.69,-35.62,-0.46,0.15,-1.1,0.12,0.29,0.11,0.62,5.6,-1.9
8,0.59,1.6,1.19,2.7553,3.1353,0.8425,0.0057,-0.0067,-0.0393,-0.39,0.06,-0.68,-0.0243,-0.0433,-0.2482,-0.0121,0.004,-0.0869,0.003,-0.077,-0.295,-0.002,-0.007,-0.045,-43.99,-39.91,58.46,-19.22,-36.51,-27.11,-0.08,0.11,-1.67,-0.14,-0.03,0.07,0.8231,2.7636,-4.5126
9,-3,19.23,5.52,3.682,26.7477,11.1995,-0.0427,-0.0513,-0.0085,-0.1,1.45,2.2615,-0.021,0.1089,0.0904,0.0367,0.1967,0.3272,-0.035,-0.052,0.081,0.023,0.016,0.192,-133.56,-373.44,-101.93,10.42,-65.24,41.56,0,0,0,-0.3141,1.4722,0.0685,12.7,26.9,56.7
10,-0.32,1.14,3.23,-0.2863,0.7853,4.5455,-0.0061,0.0005,0.0345,0.27,0.13,1.54,-0.0105,-0.028,0.1857,-0.0079,0.0279,0.0282,-0.069,-0.014,0.283,-0.037,-0.015,0.085,-26.89,-0.09,139.78,-12.8,-10.91,24.62,0,0,0,0.1562,-0.0379,0.7494,4.6,-1.3,9.2
11,0.02,0.58,0.66,0.2542,0.4892,0.0764,0.0011,-0.0006,0.0131,-0.1275,0.0625,0.1025,-0.0264,-0.0476,-0.1313,-0.0144,-0.0507,-0.1024,-0.022,-0.014,-0.031,-0.009,-0.018,-0.008,-11.19,-25.87,-79.3,-3.64,-1.99,-19.13,0.04,0.97,2.28,-0.09,-0.03,0.5,0.4705,0.1168,-2.242
12,0.83,-0.04,2.25,0.3185,-0.7651,2.2984,-0.0044,0.0114,-0.0004,0.005,-0.39,0.9725,-0.1085,-0.0401,-0.2503,-0.0098,0.0055,-0.0432,-0.077,0.094,-0.113,-0.022,0.038,0.006,-50.18,-12.31,-185.99,-25.95,-4.98,-42.78,-1.49,-2.31,-5.77,-0.01,-0.07,0.52,-7.1,-6.8,-11.1
13,-0.29,0.31,-1.13,-0.2594,0.8717,-0.0393,-0.0028,-0.0006,-0.0043,-0.2925,-0.665,-0.45,-0.0411,-0.0625,-0.1293,-0.0081,-0.0003,-0.0072,-0.038,-0.041,-0.063,-0.01,-0.023,-0.022,32.13,8.55,4.07,3.66,-10.95,-9.37,-0.35,-2.64,-5.5,0.01,-0.47,-0.68,-3.9817,-6.7427,-14.8333
14,-1.08,4.54,5.45,-5.4645,1.2184,5.3059,-0.0044,0.0242,-0.0123,-1.8,-1.625,-0.4,0.1618,0.1344,0.0265,0.1382,-0.1171,-0.1676,0.044,-0.03,-0.206,0.303,-0.024,-0.219,134.77,60.69,-74.46,11.54,-41.37,-27.08,0,0,0,-1.37833,-0.93568,-0.25268,-1.6,8.6,21.3
15,0.92,2.12,0.8,2.0536,1.6632,0.6046,-0.0095,-0.0111,-0.0021,0.1225,0.6425,0.2875,0.0036,0.0282,0.0353,0.0019,0.0083,0.0082,-0.017,0.009,0.08,-0.01,0.034,0.04,-26.6,-38.02,-2.43,-1.61,-23.06,-14.65,0,0,0,0.16,0.48,0.5,0.8,7,8.9
16,0.68,0.02,-1.09,-0.2089,0.0395,1.2369,0.0027,-0.0116,-0.0286,-0.07,0.215,0.02,-0.0358,-0.1442,-0.2105,0,-0.0119,-0.0319,0.001,-0.057,-0.12,0.03,0.008,-0.05,2.04,-24.25,-54.89,-4.13,-5.51,-29.75,0.03,-0.67,-2.4,-0.15,0.06,0.07,0.2,-1.8,-1.1
17,1.29,1.91,2.03,1.2735,3.6998,3.3985,0.0009,-0.0265,-0.0259,0.57,0.1775,0.92,-0.1203,-0.2563,-0.3689,-0.0399,-0.0708,-0.1349,-0.038,-0.151,-0.221,-0.023,-0.064,-0.152,-25.49,-155.47,-256.19,-4.79,-50.08,-81.13,0,0,0,0.3649,0.5182,1.1374,-7.2,-11.9,-5.3
18,0.54,-0.6,0.19,0.0859,-0.8573,-0.7919,-0.0016,0.003,0.012,-0.02,-0.145,-0.3,0.0159,0.1136,0.0568,0.0154,0.1066,-0.0014,-0.015,0.085,0.138,-0.011,0.022,0.03,-0.9,13.9,-13.42,-13.86,4.8,-3.76,-0.18,-1.57,-1.16,0,-0.33,-0.6,0.1797,-0.1633,1.967
19,-0.72,-2.1,-2.56,-0.8307,-4.5585,-4.2404,0.0005,-0.0069,-0.0152,0.045,0.13,-0.0175,-0.0072,-0.1344,-0.14,0.004,-0.016,-0.0365,0.002,-0.166,-0.144,0.004,-0.087,-0.132,5.78,139.25,164.3,1.42,22.2,31.73,-0.13,-4.12,-2.2,0.07,-0.15,-0.25,-0.1876,-8.3225,-5.0214
20,-1.59,0.95,1.61,-1.7883,0.4317,1.5051,0.0127,0.019,0.0536,-0.075,0.265,-0.275,0.0486,-0.119,-0.2455,0.0399,-0.0887,-0.0978,0.045,0,-0.009,0.095,0.087,0.162,47.06,11.23,-29.82,11.31,-10.86,-10.8,0,0,0,-0.4361,0.1863,-0.2555,3.7,-3.5,-12.8
21,1,1.73,3.65,-0.1342,2.2172,4.5414,0.002,-0.0127,-0.0089,0.195,0.31,0.095,-0.0353,-0.0124,-0.0355,-0.0238,-0.0158,-0.0278,0.003,0.009,-0.03,0.003,0.005,-0.003,-6.31,-1.19,-35.63,-15.91,-23.77,-50.85,0.07,0.8,1.08,0.16,0.15,0.22,0.2727,3.9202,9.146
22,0.2,-2.55,-2.02,0.3808,-0.3356,-0.5898,0.0003,-0.0005,-0.0085,0.0525,0.1125,-0.735,0.0444,0.1606,0.2968,0.0311,0.1294,0.3704,0.023,0.098,0.143,0.003,0.016,0.02,-0.21,37.65,53.02,8.09,61.97,61.09,0.36,-2.36,-3.65,0.15,0.08,-0.22,0.3887,-6.4209,-19.9122
23,1.01,1.68,3.6,2.4765,0.2951,5.4612,0.0025,0.0009,-0.001,0.105,-0.025,1.29,0.0458,0.1473,0.0412,0.0551,0.0595,-0.0283,0.004,0.05,-0.064,0.008,0.027,0.021,-32.56,70.81,-93.96,-28.09,-28.96,-81.66,0.19,0.46,0.95,-0.24,-0.6,0.59,-0.8355,-4.2906,0.1573
24,-0.08,-1.77,1.12,-0.0785,0.5478,4.571,-0.0082,-0.0131,-0.0155,-0.0925,-1.0675,-0.6825,0.0033,-0.1289,-0.1209,0.002,-0.0197,-0.0279,0.017,-0.018,0.017,0.006,-0.004,0.022,8.89,2.97,-74.93,16.13,-57.03,-182.62,-0.22,-0.63,-0.06,0.18,0.4,0.88,0.78,-2.41,-20.12
25,-0.4,1.68,-1.33,-1.7693,3.5055,4.1474,-0.0034,-0.0481,-0.0714,-0.01,0.375,1.23,0.0405,0.0006,-0.0805,0.024,0.0246,-0.0156,-0.001,-0.159,-0.307,0.004,-0.285,-0.423,47.37,-112.15,-162.31,1.75,-21.74,-11.85,0,0,0,0.3962,0.6413,0.9286,5,11.1,12.2
26,-1.12,-0.7,0.77,1.2334,3.26,4.9139,-0.0027,0.019,0.0142,-0.4625,0.05,1.4625,-0.2132,-0.3685,-0.3322,-0.0317,-0.3777,-0.3492,-0.08,-0.133,-0.045,-0.02,-0.255,-0.263,-86.11,-51.93,-57.98,-23.73,-20.95,-27.07,0,0,0,-0.2389,-0.336,0.5995,-24.9,-18,-6.4
27,-1.15,-0.59,-0.35,0.4543,-1.6856,-0.7442,0.0009,-0.0094,-0.001,0.105,0.3325,0.235,0.048,0.0957,0.0151,0.008,0.0076,-0.0476,0.002,0.077,0.066,0.003,0.012,0.022,-2.23,54.34,51.66,12.63,2.38,-15.04,0.11,1.83,0.34,0.01,0.12,-0.03,0.7333,1.8543,-0.4624
28,-0.62,0.08,-0.06,-0.6583,-0.4128,-0.7975,0.0106,0.0137,0.0221,-0.1175,0.04,0.4825,0.0301,-0.0837,-0.109,0.008,-0.0517,-0.073,0.047,-0.017,-0.012,0.029,0.01,0.018,3.61,-53.43,-61.9,5.56,-17.14,-47.11,-0.08,1.31,1.04,-0.01,0.53,1.01,-0.5955,-2.3588,-4.4651
29,0.77,-1.5,-1.68,0.5979,-1.4309,-4.8917,-0.0073,-0.003,-0.004,0.03,-1.005,-1.4475,-0.0453,-0.002,0.0143,-0.0279,-0.0161,0.0032,-0.038,-0.004,0.056,-0.01,0,0.005,-15.49,-20.52,-7.92,-16.43,3.7,4.17,-1.96,1.62,1.54,-0.22,-0.88,-1.08,-5.9,2.2,-2.3
30,0.44,-0.09,2.12,0.7553,0.105,2.3596,-0.0043,0.0277,0.0204,-0.305,-0.7825,-1.26,0.0018,0.013,-0.2532,-0.0485,0.0076,-0.1658,0.024,0.072,-0.106,0.022,0.111,0.072,-22.68,-8.9,-94.71,-7.7,3.94,-20.07,0,0,0,-0.0186,-0.4147,-0.6819,0.7,0.2,-11
31,-0.51,1.06,0.87,-0.4453,1.8153,2.1329,-0.0049,0.0119,0.0166,-0.0525,-0.4375,-0.585,0.0154,-0.0543,0.0623,-0.0041,0.0235,0.0758,-0.002,-0.006,0.115,-0.011,0.006,0.047,21.5,-35.68,1.39,16.94,-11.99,-0.42,0.05,-0.02,-1.35,-0.03,-0.06,-0.1,-3.3213,-0.8273,-2.8279
32,-0.26,-8.44,-4.73,0.4708,-14.5603,-8.4944,0.0226,0.0641,0.0733,1.815,2.005,2.7275,0.0498,0.2343,-0.1524,0.0803,0.1132,0.1067,0.11,0.237,0.019,0.076,0.062,0.151,29.97,258.89,356.49,19.38,65.99,82.23,0,0,0,0.5559,0.1844,-0.7175,11.9,20.4,-3.2
33,-0.46,0.08,0.57,-0.447,1.8358,1.1357,-0.0041,0.0019,-0.002,-0.0625,0.5475,0.9825,-0.0018,-0.0142,0.0608,0.0263,0.0222,0.076,-0.026,-0.004,-0.001,-0.006,-0.002,-0.009,9.21,-32.75,-15.79,11.75,-12.34,-39.61,0.04,1.67,2.52,0.02,0.25,0.28,-0.74,8.64,11.73
34,-0.15,1.12,0.79,-2.5416,0.0195,1.2073,-0.0004,0.0095,0.0104,-0.1575,0.285,1.2375,0.0482,0.0463,0.0604,0.01,-0.0204,-0.029,0.062,0.074,0.051,0.021,0.075,0.023,42.38,-3.2,13.71,5.36,10.6,-4.43,-0.38,0.78,2.28,-0.04,-0.26,0.22,-3.3433,-2.4087,1.9914
35,-1.33,-1.38,-4.55,-1.0589,0.1233,-4.2481,-0.001,-1.00E-04,0.0199,0.0675,0.235,-0.4825,0.0643,0.0659,0.2005,0.0243,0.0207,0.03,0.065,0.15,0.219,0.023,0.052,0.123,14.66,38.69,147.33,3.99,-2.53,34.31,0,0,0,0.12,0.07,-0.32,4.9,10,9.4
36,-0.43,-0.93,0.34,0.4905,0.7637,2.7587,-0.0032,0.0088,0.0314,0.305,0.43,-0.825,0.0486,-0.0826,-0.1699,0.0199,-0.0497,-0.1024,0.026,0.013,0.104,-0.024,0.051,0.091,-41.48,-135.95,-178.65,-29.12,-59.49,-58.53,0.59,-0.62,-0.38,-0.03,0.07,-0.79,3.124,1.2066,1.108
37,-0.48,-3.57,-1.76,-0.667,-4.518,-6.0289,0.0059,0.0028,-0.0096,-0.6725,-1.3325,-1,-0.0414,0.1034,0.1088,-0.0483,0.0326,0.0533,0.035,0.076,0.019,0.029,0.081,0.012,-6.23,41.31,49.54,1.95,28.54,1.65,0.21,-0.66,-1.08,-0.31,-0.38,-0.04,-0.4073,-6.2318,-5.6032
38,-0.28,4.08,4.61,0.0838,2.1394,3.6808,-0.0037,-0.005,-0.0007,-0.105,0.21,0.04,-0.0055,-0.0532,-0.1867,-0.0122,-0.0905,-0.1912,-0.007,-0.014,-0.093,-0.006,-0.006,-0.026,-6.75,-39.9,-86.1,-8.69,-51.83,-65.67,0.16,0.93,0.68,0.06,0.12,0.18,3.56,4.9256,3.3628
39,-0.37,-1.98,1.56,-0.1046,-2.5757,0.2757,0.0097,0.006,0.002,-0.1,-0.82,-0.2725,-0.078,-0.0616,0.0111,-0.0326,0.0152,-0.0401,-0.057,-0.031,0.06,-0.048,-0.015,0.041,15.17,34.75,3.52,-0.02,1.23,-37.63,0,0,0,-0.0496,-0.4533,0.0696,-7.1,-8.4,7.8
40,-0.42,-1.45,-0.12,0.3204,-0.6906,0.681,0.0057,0.0103,0.0043,-0.2925,-0.1975,0.245,-0.0163,-0.0164,-0.0183,-0.02,-0.0505,-0.0573,-0.026,-0.01,0.01,-0.007,0.025,0.017,-10.98,11.44,-8.08,-1.83,13.28,-13.43,0,3.16,5.02,0.06,0.06,-0.21,1.9435,0.8802,4.3926
41,0.25,0.91,0.54,0.1467,0.6821,-2.1258,-0.0009,-0.0225,-0.0025,0,-0.3275,-1.245,-0.0616,-0.1668,0.0436,-0.0557,-0.0643,0.0969,-0.023,-0.122,0.121,-0.027,-0.102,0.073,4.88,-18.74,107.88,0.24,8.41,27.73,0,0,0,-0.00077,-0.33857,-0.60277,0.3,-0.4,2.6
42,0,-2.27,-4.22,-0.211,-3.7732,-4.7616,0.0008,0.0005,0.0079,-0.115,-0.3925,-0.3475,0,0.1024,0.1925,0,0.0518,0.0623,0.024,0.091,0.14,0.003,0.005,0.005,19.28,139.16,131.93,0,20.76,27.32,0,0.9,1.18,-0.15,-0.28,-0.33,0,1.278,2.4006
43,1.5,0.53,-0.28,0.5022,-0.6541,0.4427,0.0051,0.0315,0.0169,0.46,0.9875,1.7625,0.0201,-0.1124,-0.2228,-0.0081,-0.0893,-0.1034,0.057,0.059,0.058,0.037,-0.035,0.049,15.69,35.02,-1.87,-10.56,-8.58,-13.66,0,0,0,0.2752,0.828,1.0741,2.1,-8.1,-14.9
44,0.75,-0.57,0.46,1.3609,0.7281,1.6596,-0.0012,0.0063,0.005,-0.05,-0.075,0.15,-0.0484,-0.087,-0.1362,-0.0351,-0.0537,-0.1294,0.001,-0.057,-0.11,0.004,-0.031,-0.115,-52.24,-24.13,-84.08,-10,5.24,-17.87,0,0,0,0.041282,0.072681,0.173965,-4,-3.8,-6.2
45,0.4,-0.5,-5.23,-0.1938,-0.2435,-5.2363,0.0072,0.0032,-0.0166,0.085,0.34,0.02,0.064,0.1203,0.2451,-0.0008,0.071,0.098,0.007,0.118,0.17,0.041,0.128,-0.081,1.31,-38.86,76.55,-7.28,-18.56,15.77,0,0,0,-0.1063,0.5014,0.1428,3.3,6.1,3.6
46,0.49,-2.61,-4.12,0.3405,-0.4221,-1.7098,0.0007,0.0056,0.0132,-0.0425,-0.0225,-0.5375,0.0052,0.1557,0.166,-0.0373,0.0992,0.1789,0.036,0.126,0.09,0.014,0.021,0.056,-6.78,-10.79,3.01,-1.03,39.1,65.45,1.07,0.07,-0.44,-0.07,0.08,-0.11,5.0974,1.6934,-0.8466
47,0.94,0.54,0.86,2.5363,0.558,2.5581,0.0035,-0.0072,-0.0143,0.2625,0.3925,0.025,0.0065,0.0114,0.0459,0.0077,0.0016,0.0053,0.033,0.045,0.049,0.024,0.012,0.013,-91.64,-57.64,-149.76,-14.15,-54.08,-110.7,0.41,0.71,1.07,0.04,0.47,0.47,2.32,3.48,6.2
48,0.71,-0.53,-2.26,0.9619,1.447,0.7779,0.001,0.0025,0.015,-0.09,-0.6475,-1.63,-0.0155,-0.13,-0.2074,-0.0138,-0.0794,-0.1243,0.006,-0.085,-0.164,-0.009,-0.016,-0.032,-20.27,-58.66,-49.85,-11.44,9.44,23.2,0.02,-0.63,-0.63,-0.11,-0.2,-0.62,1.6186,-2.8447,-4.7208
49,0.14,-0.27,-1.01,0.2882,-0.4572,-1.3218,-0.0069,-0.0002,0.0062,0.055,0.34,0.89,0.0523,0.0229,0.0477,0.0019,-0.0245,-0.0616,0.031,0.049,0.023,0.016,0.027,-0.055,-24.8,3.14,41.56,-9.01,-3.73,-2.4,6.62,6.63,6.67,0.01,0.1,0.3,0.2613,0.2667,2.4045
